epoch,step,train_loss
0,7,1.4575738906860352
1,15,1.4293767213821411
2,23,1.4093931913375854
3,31,1.397364616394043
4,39,1.3907135725021362
5,47,1.3864233493804932
6,55,1.3826249837875366
7,63,1.3801735639572144
8,71,1.3785552978515625
9,79,1.3764959573745728
10,87,1.3738847970962524
11,95,1.3720269203186035
12,103,1.3675659894943237
13,111,1.3650799989700317
14,119,1.36056387424469
15,127,1.3587076663970947
16,135,1.3531957864761353
17,143,1.3521294593811035
18,151,1.3437983989715576
19,159,1.337599754333496
20,167,1.3328155279159546
21,175,1.327375888824463
22,183,1.318825602531433
23,191,1.3165618181228638
24,199,1.309248447418213
25,207,1.3057091236114502
26,215,1.2978636026382446
27,223,1.2936625480651855
28,231,1.2922227382659912
29,239,1.2743359804153442
30,247,1.270316481590271
31,255,1.268092155456543
32,263,1.2492961883544922
33,271,1.253702163696289
34,279,1.2564809322357178
35,287,1.2393848896026611
36,295,1.2472132444381714
37,303,1.233148217201233
38,311,1.2307054996490479
39,319,1.2207581996917725
40,327,1.218518853187561
41,335,1.1869102716445923
42,343,1.2144291400909424
43,351,1.2016127109527588
44,359,1.193966269493103
45,367,1.203561782836914
46,375,1.1993343830108643
47,383,1.1917163133621216
48,391,1.1829955577850342
49,399,1.1995009183883667
50,407,1.18818199634552
51,415,1.186743974685669
52,423,1.1808488368988037
53,431,1.1988115310668945
54,439,1.162775993347168
55,447,1.1752883195877075
56,455,1.1749573945999146
57,463,1.1714082956314087
58,471,1.181789755821228
59,479,1.1736787557601929
60,487,1.1922060251235962
61,495,1.1742993593215942
62,503,1.1772619485855103
63,511,1.1699217557907104
64,519,1.1677292585372925
65,527,1.1785093545913696
66,535,1.163743257522583
67,543,1.1642742156982422
68,551,1.1509208679199219
69,559,1.1555376052856445
70,567,1.1594401597976685
71,575,1.157361626625061
72,583,1.1513895988464355
73,591,1.1598167419433594
74,599,1.1516008377075195
75,607,1.1437853574752808
76,615,1.161934733390808
77,623,1.1579878330230713
78,631,1.1626147031784058
79,639,1.1523083448410034
80,647,1.1515567302703857
81,655,1.146801233291626
82,663,1.169290542602539
83,671,1.1470412015914917
84,679,1.1587326526641846
85,687,1.1516408920288086
86,695,1.1412084102630615
87,703,1.1509636640548706
88,711,1.1387656927108765
89,719,1.1350622177124023
90,727,1.1416943073272705
91,735,1.1117947101593018
92,743,1.1531485319137573
93,751,1.1536728143692017
94,759,1.13222336769104
95,767,1.1270639896392822
96,775,1.151037573814392
97,783,1.1416882276535034
98,791,1.136830449104309
99,799,1.1553056240081787
100,807,1.1638060808181763
101,815,1.1614383459091187
102,823,1.1406488418579102
103,831,1.158325433731079
104,839,1.1373473405838013
105,847,1.1401124000549316
106,855,1.1438727378845215
107,863,1.1395776271820068
108,871,1.1438343524932861
109,879,1.1549714803695679
110,887,1.1324318647384644
111,895,1.1353960037231445
112,903,1.1253842115402222
113,911,1.1513302326202393
114,919,1.137410044670105
115,927,1.1508269309997559
116,935,1.1559525728225708
117,943,1.1510471105575562
