epoch,step,train_loss
0,7,0.002285640686750412
1,15,-0.15383696556091309
2,23,-0.27718788385391235
3,31,-0.378028929233551
4,39,-0.45796728134155273
5,47,-0.5246037244796753
6,55,-0.5821374654769897
7,63,-0.6329391002655029
8,71,-0.6787607073783875
9,79,-0.7201072573661804
10,87,-0.7594565153121948
11,95,-0.7958436012268066
12,103,-0.83014315366745
13,111,-0.8621667623519897
14,119,-0.8930904269218445
15,127,-0.9218010306358337
16,135,-0.9493366479873657
17,143,-0.9759290814399719
18,151,-1.0009716749191284
19,159,-1.0247043371200562
20,167,-1.0479656457901
21,175,-1.0700981616973877
22,183,-1.0912970304489136
23,191,-1.1111019849777222
24,199,-1.1302393674850464
25,207,-1.1496680974960327
26,215,-1.1677314043045044
27,223,-1.18539297580719
28,231,-1.2024562358856201
29,239,-1.2188104391098022
30,247,-1.2335503101348877
31,255,-1.2495332956314087
32,263,-1.2649120092391968
33,271,-1.2794915437698364
34,279,-1.2933427095413208
35,287,-1.3071070909500122
36,295,-1.3206945657730103
37,303,-1.3330810070037842
38,311,-1.345945954322815
39,319,-1.3583173751831055
40,327,-1.3699554204940796
41,335,-1.3816783428192139
42,343,-1.3931306600570679
43,351,-1.403885841369629
44,359,-1.41444993019104
45,367,-1.4257274866104126
46,375,-1.4359612464904785
47,383,-1.4455028772354126
48,391,-1.4553476572036743
49,399,-1.4647648334503174
50,407,-1.473702073097229
51,415,-1.482362151145935
52,423,-1.491105318069458
53,431,-1.4996694326400757
54,439,-1.507494330406189
55,447,-1.5155460834503174
56,455,-1.5234065055847168
57,463,-1.530181646347046
58,471,-1.5375179052352905
59,479,-1.545017123222351
60,487,-1.5518581867218018
61,495,-1.5587364435195923
62,503,-1.565204381942749
63,511,-1.5718525648117065
64,519,-1.577652096748352
65,527,-1.5836647748947144
66,535,-1.5901098251342773
67,543,-1.5955671072006226
68,551,-1.6009974479675293
69,559,-1.606414556503296
70,567,-1.6121280193328857
71,575,-1.6171867847442627
72,583,-1.62275230884552
73,591,-1.627309799194336
74,599,-1.6325585842132568
75,607,-1.6374753713607788
76,615,-1.6418322324752808
77,623,-1.646713376045227
78,631,-1.6506779193878174
79,639,-1.655510425567627
80,647,-1.6594775915145874
81,655,-1.663877010345459
82,663,-1.6681292057037354
83,671,-1.6715697050094604
84,679,-1.6760053634643555
85,687,-1.6796221733093262
86,695,-1.683376669883728
87,703,-1.6871984004974365
88,711,-1.6908835172653198
89,719,-1.6938115358352661
90,727,-1.6974291801452637
91,735,-1.701103925704956
92,743,-1.704490065574646
93,751,-1.7078113555908203
94,759,-1.7109460830688477
95,767,-1.7140883207321167
96,775,-1.7169342041015625
97,783,-1.719868779182434
98,791,-1.7232766151428223
99,799,-1.7262077331542969
100,807,-1.7286971807479858
101,815,-1.7313634157180786
102,823,-1.734121322631836
103,831,-1.7370961904525757
104,839,-1.7396245002746582
105,847,-1.7421257495880127
106,855,-1.7442585229873657
107,863,-1.7473889589309692
108,871,-1.7498492002487183
109,879,-1.752386450767517
110,887,-1.7547030448913574
111,895,-1.7566502094268799
112,903,-1.759316086769104
113,911,-1.761922836303711
114,919,-1.7638472318649292
115,927,-1.765613317489624
116,935,-1.768325686454773
117,943,-1.770022988319397
118,951,-1.7726761102676392
119,959,-1.7743198871612549
120,967,-1.7765673398971558
121,975,-1.7785979509353638
122,983,-1.7805064916610718
123,991,-1.7821319103240967
124,999,-1.7843912839889526
125,1007,-1.786349892616272
126,1015,-1.787826657295227
127,1023,-1.7896603345870972
128,1031,-1.791585087776184
129,1039,-1.7930985689163208
130,1047,-1.7952176332473755
131,1055,-1.7967746257781982
132,1063,-1.7986377477645874
133,1071,-1.8003836870193481
134,1079,-1.8023542165756226
135,1087,-1.803948163986206
136,1095,-1.8055588006973267
137,1103,-1.8070454597473145
138,1111,-1.8083688020706177
139,1119,-1.810183048248291
140,1127,-1.8114243745803833
141,1135,-1.813375473022461
142,1143,-1.8146767616271973
143,1151,-1.8159778118133545
144,1159,-1.8174983263015747
145,1167,-1.819103479385376
146,1175,-1.8205785751342773
147,1183,-1.821760892868042
148,1191,-1.8233534097671509
149,1199,-1.8242032527923584
150,1207,-1.8263146877288818
151,1215,-1.8276113271713257
152,1223,-1.8286631107330322
153,1231,-1.830004096031189
154,1239,-1.8315728902816772
155,1247,-1.8325026035308838
156,1255,-1.833990216255188
157,1263,-1.8353323936462402
158,1271,-1.8367997407913208
159,1279,-1.8381130695343018
160,1287,-1.8382854461669922
161,1295,-1.8405482769012451
162,1303,-1.841435194015503
163,1311,-1.8427804708480835
164,1319,-1.8438626527786255
165,1327,-1.8450149297714233
166,1335,-1.8457235097885132
167,1343,-1.847506046295166
168,1351,-1.848502516746521
169,1359,-1.849446177482605
170,1367,-1.850439190864563
171,1375,-1.8516473770141602
172,1383,-1.8526639938354492
173,1391,-1.853756070137024
174,1399,-1.8550317287445068
175,1407,-1.8560512065887451
176,1415,-1.8571662902832031
177,1423,-1.8582522869110107
178,1431,-1.858870029449463
179,1439,-1.8598220348358154
180,1447,-1.8611654043197632
181,1455,-1.8620755672454834
182,1463,-1.8630963563919067
183,1471,-1.8637844324111938
184,1479,-1.865040898323059
185,1487,-1.8658926486968994
186,1495,-1.8669594526290894
187,1503,-1.8677103519439697
188,1511,-1.8685705661773682
189,1519,-1.8695306777954102
190,1527,-1.8700603246688843
191,1535,-1.8714957237243652
192,1543,-1.872341275215149
193,1551,-1.8731138706207275
194,1559,-1.8740034103393555
195,1567,-1.8748388290405273
196,1575,-1.8756139278411865
197,1583,-1.8764803409576416
198,1591,-1.877114176750183
199,1599,-1.8784092664718628
200,1607,-1.8791043758392334
201,1615,-1.8798551559448242
202,1623,-1.880863070487976
203,1631,-1.881628394126892
204,1639,-1.8822360038757324
205,1647,-1.882925271987915
206,1655,-1.8837592601776123
207,1663,-1.8847259283065796
208,1671,-1.8855106830596924
209,1679,-1.8862061500549316
210,1687,-1.8868873119354248
211,1695,-1.8874937295913696
212,1703,-1.888351559638977
213,1711,-1.888904094696045
214,1719,-1.889648675918579
215,1727,-1.8904633522033691
216,1735,-1.8910382986068726
217,1743,-1.8915270566940308
218,1751,-1.892475962638855
219,1759,-1.8930764198303223
220,1767,-1.893972635269165
221,1775,-1.8947484493255615
222,1783,-1.8954445123672485
223,1791,-1.8961509466171265
224,1799,-1.8963481187820435
225,1807,-1.897481918334961
226,1815,-1.897635579109192
227,1823,-1.898322343826294
228,1831,-1.8991329669952393
229,1839,-1.8996894359588623
230,1847,-1.900207757949829
231,1855,-1.9010065793991089
232,1863,-1.9014922380447388
233,1871,-1.9020522832870483
234,1879,-1.902856707572937
235,1887,-1.9030910730361938
236,1895,-1.9036986827850342
237,1903,-1.9042712450027466
238,1911,-1.9049783945083618
239,1919,-1.905462384223938
240,1927,-1.9062031507492065
241,1935,-1.9067978858947754
242,1943,-1.907044529914856
243,1951,-1.9074653387069702
244,1959,-1.9083590507507324
245,1967,-1.9088233709335327
246,1975,-1.9092665910720825
247,1983,-1.9100279808044434
248,1991,-1.9105277061462402
249,1999,-1.910810947418213
250,2007,-1.9112802743911743
251,2015,-1.9116089344024658
252,2023,-1.9123139381408691
253,2031,-1.912576675415039
254,2039,-1.9134819507598877
255,2047,-1.9138314723968506
256,2055,-1.9141621589660645
257,2063,-1.9147989749908447
258,2071,-1.9152926206588745
259,2079,-1.9157253503799438
260,2087,-1.916051983833313
261,2095,-1.9160065650939941
262,2103,-1.9169230461120605
263,2111,-1.9174103736877441
264,2119,-1.9180659055709839
265,2127,-1.9182796478271484
266,2135,-1.9187299013137817
267,2143,-1.919201374053955
268,2151,-1.9194045066833496
269,2159,-1.9197332859039307
270,2167,-1.9205433130264282
271,2175,-1.9208698272705078
