epoch,step,train_loss
0,7,-0.3125976026058197
1,15,-0.6883782744407654
2,23,-1.0284415483474731
3,31,-1.3214867115020752
4,39,-1.5626178979873657
5,47,-1.751278042793274
6,55,-1.8947502374649048
7,63,-2.0007858276367188
8,71,-2.079345226287842
9,79,-2.1359076499938965
10,87,-2.179196357727051
11,95,-2.21124005317688
12,103,-2.2353649139404297
13,111,-2.2542314529418945
14,119,-2.2692694664001465
15,127,-2.281312942504883
16,135,-2.2911643981933594
17,143,-2.2990810871124268
18,151,-2.306284189224243
19,159,-2.3120460510253906
20,167,-2.3167288303375244
21,175,-2.321260452270508
22,183,-2.325425386428833
23,191,-2.3287107944488525
24,199,-2.3318586349487305
25,207,-2.334733486175537
26,215,-2.337200880050659
27,223,-2.3393826484680176
28,231,-2.3411600589752197
29,239,-2.343496799468994
30,247,-2.3453667163848877
31,255,-2.3468897342681885
32,263,-2.3484368324279785
33,271,-2.349945306777954
34,279,-2.3514492511749268
35,287,-2.352553367614746
36,295,-2.3537471294403076
37,303,-2.3548333644866943
38,311,-2.3555586338043213
39,319,-2.3568828105926514
40,327,-2.357879400253296
41,335,-2.358157157897949
42,343,-2.359330177307129
43,351,-2.3602912425994873
44,359,-2.3610618114471436
45,367,-2.3615033626556396
46,375,-2.3624637126922607
47,383,-2.3630101680755615
48,391,-2.3632566928863525
49,399,-2.364487886428833
50,407,-2.364987850189209
51,415,-2.3650381565093994
52,423,-2.3661704063415527
53,431,-2.3664565086364746
54,439,-2.3664121627807617
55,447,-2.3669848442077637
56,455,-2.3679423332214355
57,463,-2.3684356212615967
58,471,-2.3687407970428467
59,479,-2.3692116737365723
60,487,-2.3694870471954346
61,495,-2.3699793815612793
62,503,-2.3704519271850586
63,511,-2.3704586029052734
64,519,-2.3706870079040527
65,527,-2.3714821338653564
66,535,-2.371713399887085
67,543,-2.372274875640869
68,551,-2.372342109680176
69,559,-2.3727633953094482
70,567,-2.3729608058929443
71,575,-2.372688055038452
72,583,-2.3741049766540527
73,591,-2.3742733001708984
74,599,-2.374077320098877
75,607,-2.374640941619873
76,615,-2.3750429153442383
77,623,-2.375485420227051
78,631,-2.3755059242248535
79,639,-2.375037431716919
80,647,-2.376115560531616
81,655,-2.3756957054138184
82,663,-2.376789093017578
83,671,-2.3769569396972656
84,679,-2.377420425415039
85,687,-2.3775267601013184
86,695,-2.3771958351135254
87,703,-2.3782098293304443
88,711,-2.3782951831817627
89,719,-2.3784828186035156
90,727,-2.3783364295959473
91,735,-2.3785367012023926
92,743,-2.37945818901062
93,751,-2.3785171508789062
94,759,-2.379579782485962
95,767,-2.3797924518585205
96,775,-2.38041090965271
97,783,-2.3805413246154785
98,791,-2.3801724910736084
99,799,-2.3807930946350098
100,807,-2.380889415740967
101,815,-2.381533145904541
102,823,-2.381635904312134
103,831,-2.3820958137512207
104,839,-2.3822014331817627
105,847,-2.3823764324188232
106,855,-2.382610321044922
107,863,-2.3828916549682617
108,871,-2.3829281330108643
109,879,-2.3828394412994385
110,887,-2.3835513591766357
