epoch,step,train_loss
0,7,0.0011491308687254786
1,15,-0.15204326808452606
2,23,-0.2777072787284851
3,31,-0.3772677779197693
4,39,-0.45507317781448364
5,47,-0.5219453573226929
6,55,-0.5784366726875305
7,63,-0.6289887428283691
8,71,-0.6749941110610962
9,79,-0.717728316783905
10,87,-0.7576375603675842
11,95,-0.7959417700767517
12,103,-0.8328730463981628
13,111,-0.8667826652526855
14,119,-0.9002506136894226
15,127,-0.9313958883285522
16,135,-0.9607840180397034
17,143,-0.9899227619171143
18,151,-1.0168795585632324
19,159,-1.042701244354248
20,167,-1.0669022798538208
21,175,-1.0904309749603271
22,183,-1.112413763999939
23,191,-1.133445382118225
24,199,-1.154089093208313
25,207,-1.1740069389343262
26,215,-1.192305088043213
27,223,-1.2105892896652222
28,231,-1.2280389070510864
29,239,-1.2450698614120483
30,247,-1.260769248008728
31,255,-1.276425838470459
32,263,-1.291743516921997
33,271,-1.3068897724151611
34,279,-1.3211588859558105
35,287,-1.3348584175109863
36,295,-1.348299503326416
37,303,-1.3608105182647705
38,311,-1.3732541799545288
39,319,-1.3847893476486206
40,327,-1.3966842889785767
41,335,-1.4080802202224731
42,343,-1.419325590133667
43,351,-1.4293878078460693
44,359,-1.4397746324539185
45,367,-1.4497826099395752
46,375,-1.4593042135238647
47,383,-1.4683648347854614
48,391,-1.4772053956985474
49,399,-1.4860057830810547
50,407,-1.4951590299606323
51,415,-1.5031317472457886
52,423,-1.5110653638839722
53,431,-1.5192418098449707
54,439,-1.5269060134887695
55,447,-1.5341906547546387
56,455,-1.5410197973251343
57,463,-1.5482779741287231
58,471,-1.5548083782196045
59,479,-1.5617693662643433
60,487,-1.5683130025863647
61,495,-1.5744895935058594
62,503,-1.580696702003479
63,511,-1.5867743492126465
64,519,-1.5922319889068604
65,527,-1.597503423690796
66,535,-1.6030259132385254
67,543,-1.6088247299194336
68,551,-1.6140097379684448
69,559,-1.619504690170288
70,567,-1.6242872476577759
71,575,-1.6294355392456055
72,583,-1.6335598230361938
73,591,-1.638575553894043
74,599,-1.6425988674163818
75,607,-1.6476619243621826
76,615,-1.6523226499557495
77,623,-1.6559667587280273
78,631,-1.6601344347000122
79,639,-1.6647562980651855
80,647,-1.668126106262207
81,655,-1.6726001501083374
82,663,-1.6762391328811646
83,671,-1.6799211502075195
84,679,-1.6835908889770508
85,687,-1.6864687204360962
86,695,-1.6905251741409302
87,703,-1.6941903829574585
88,711,-1.6978288888931274
89,719,-1.7011710405349731
90,727,-1.7043954133987427
91,735,-1.7076289653778076
92,743,-1.7109746932983398
93,751,-1.7138739824295044
94,759,-1.7167261838912964
95,767,-1.7201871871948242
96,775,-1.722992181777954
97,783,-1.7257566452026367
98,791,-1.7280218601226807
99,799,-1.7316534519195557
100,807,-1.7339794635772705
101,815,-1.73675537109375
102,823,-1.7396292686462402
103,831,-1.7418224811553955
104,839,-1.7446541786193848
105,847,-1.7471163272857666
106,855,-1.7488579750061035
107,863,-1.7517883777618408
108,871,-1.7540401220321655
109,879,-1.7563203573226929
110,887,-1.7584717273712158
111,895,-1.7613844871520996
112,903,-1.7632336616516113
113,911,-1.7655001878738403
114,919,-1.767972707748413
115,927,-1.7697241306304932
116,935,-1.7721461057662964
117,943,-1.7739535570144653
118,951,-1.7759519815444946
119,959,-1.7781881093978882
120,967,-1.78012216091156
121,975,-1.7817660570144653
122,983,-1.7833741903305054
123,991,-1.7849438190460205
124,999,-1.7877066135406494
125,1007,-1.7893027067184448
126,1015,-1.7907999753952026
127,1023,-1.7927972078323364
128,1031,-1.79477059841156
129,1039,-1.79609215259552
130,1047,-1.7980434894561768
131,1055,-1.799884557723999
132,1063,-1.8018200397491455
133,1071,-1.8034090995788574
134,1079,-1.8046494722366333
135,1087,-1.8062856197357178
136,1095,-1.8074772357940674
137,1103,-1.8090260028839111
138,1111,-1.8107786178588867
139,1119,-1.8126543760299683
140,1127,-1.813827633857727
141,1135,-1.8155509233474731
142,1143,-1.8168442249298096
143,1151,-1.8181288242340088
144,1159,-1.819150686264038
145,1167,-1.8206850290298462
146,1175,-1.8220821619033813
147,1183,-1.8237314224243164
148,1191,-1.82463800907135
149,1199,-1.8258860111236572
150,1207,-1.8275189399719238
151,1215,-1.8285813331604004
152,1223,-1.8296558856964111
153,1231,-1.8315210342407227
154,1239,-1.8323256969451904
155,1247,-1.8336971998214722
156,1255,-1.8344671726226807
157,1263,-1.835768699645996
158,1271,-1.8371747732162476
159,1279,-1.8381861448287964
160,1287,-1.839393973350525
161,1295,-1.840463638305664
162,1303,-1.8416454792022705
163,1311,-1.8426679372787476
164,1319,-1.8439147472381592
165,1327,-1.8449647426605225
166,1335,-1.8458595275878906
167,1343,-1.8468165397644043
168,1351,-1.8481422662734985
169,1359,-1.8488582372665405
170,1367,-1.8499928712844849
171,1375,-1.850610613822937
172,1383,-1.8521332740783691
173,1391,-1.8528951406478882
174,1399,-1.8535635471343994
175,1407,-1.8547842502593994
176,1415,-1.855870246887207
177,1423,-1.8564666509628296
178,1431,-1.8574235439300537
179,1439,-1.858494758605957
180,1447,-1.8591899871826172
181,1455,-1.8600456714630127
182,1463,-1.8610426187515259
183,1471,-1.86176598072052
184,1479,-1.8629534244537354
185,1487,-1.8636505603790283
186,1495,-1.8641618490219116
187,1503,-1.8654009103775024
188,1511,-1.866067886352539
189,1519,-1.866888165473938
190,1527,-1.8674640655517578
191,1535,-1.8687106370925903
192,1543,-1.8693209886550903
193,1551,-1.8700610399246216
194,1559,-1.870260238647461
195,1567,-1.8716480731964111
196,1575,-1.8725224733352661
197,1583,-1.8731435537338257
198,1591,-1.8739612102508545
199,1599,-1.8740599155426025
200,1607,-1.875382423400879
201,1615,-1.8757133483886719
202,1623,-1.8766230344772339
203,1631,-1.877284288406372
204,1639,-1.8779454231262207
205,1647,-1.8789918422698975
206,1655,-1.8793612718582153
207,1663,-1.8802214860916138
208,1671,-1.880219578742981
209,1679,-1.8812978267669678
210,1687,-1.8820494413375854
211,1695,-1.8829759359359741
212,1703,-1.8833849430084229
213,1711,-1.883994698524475
214,1719,-1.8846356868743896
215,1727,-1.8848299980163574
216,1735,-1.885565996170044
217,1743,-1.8861013650894165
218,1751,-1.887060523033142
219,1759,-1.8871043920516968
220,1767,-1.8883426189422607
221,1775,-1.8883943557739258
222,1783,-1.889321208000183
223,1791,-1.8899776935577393
224,1799,-1.8906515836715698
225,1807,-1.89112389087677
226,1815,-1.8913493156433105
227,1823,-1.891923189163208
228,1831,-1.8927079439163208
229,1839,-1.8932491540908813
230,1847,-1.8938416242599487
231,1855,-1.8944944143295288
232,1863,-1.8947139978408813
233,1871,-1.8954428434371948
234,1879,-1.8955078125
235,1887,-1.8962876796722412
236,1895,-1.896897554397583
237,1903,-1.8974921703338623
238,1911,-1.8980193138122559
239,1919,-1.8984870910644531
240,1927,-1.898896336555481
241,1935,-1.8992007970809937
242,1943,-1.8997280597686768
243,1951,-1.9000762701034546
